symbol,price,price_date,name,type
103010,11.44,2026-07-23,טיב טעם,מניה רגילה
106013,7.071,2026-07-23,קנדה גלובל,מניה רגילה
111013,6.156,2026-07-23,י.ב התחדשות,מניה רגילה
126011,13.65,2026-07-23,ג'י סיטי,מניה רגילה
127019,437,2026-07-23,מבטח שמיר,מניה רגילה
130013,49.64,2026-07-23,זנלכל,מניה רגילה
136010,11.64,2026-07-23,להב,מניה רגילה
142018,3.584,2026-07-23,תדאה,מניה רגילה
149013,234,2026-07-23,גולד,מניה רגילה
150011,2131.2,2026-07-23,חירון,מניה רגילה
161018,63.46,2026-07-23,וואן טכנולוגיות,מניה רגילה
168013,213.4,2026-07-23,נטו אחזקות,מניה רגילה
169011,2.902,2026-07-23,סולטרה אנרגיה,מניה רגילה
174011,56.9,2026-07-23,אינטרגאמא,מניה רגילה
175018,458.1,2026-07-23,איביאי בית השק,מניה רגילה
180018,23.32,2026-07-23,אנגל שלמה,מניה רגילה
199018,0.05,2026-07-23,פורסייט,מניה רגילה
200014,3.704,2026-07-23,לוינסקי עופר,מניה רגילה
208017,47.2,2026-07-23,נאוי,מניה רגילה
209015,143.6,2026-07-23,איילון,מניה רגילה
216010,1.32,2026-07-23,טקטונה,מניה רגילה
224014,242.8,2026-07-23,כלל עסקי ביטוח,מניה רגילה
226019,13.22,2026-07-23,מבנה,מניה רגילה
230011,7.446,2026-07-23,בזק,מניה רגילה
232017,2.06,2026-07-23,ישראמקו יהש,יחידת השתתפות
235010,10.52,2026-07-23,בית הזהב,מניה רגילה
249011,2.694,2026-07-23,שיח מדיקל,מניה רגילה
256016,334.7,2026-07-23,פורמולה מערכות,מניה רגילה
257014,1.749,2026-07-23,מרחביה אחזקות,מניה רגילה
258012,190.1,2026-07-23,תדיראן גרופ,מניה רגילה
266015,0.395,2026-07-23,רובוגרופ,מניה רגילה
273011,273.4,2026-07-23,נייס,מניה רגילה
278010,6.26,2026-07-23,וילק,מניה רגילה
280016,146.9,2026-07-23,קסטרו,מניה רגילה
281014,16.45,2026-07-23,איי.סי.אל,מניה רגילה
282012,43.34,2026-07-23,אימקו,מניה רגילה
286013,25.61,2026-07-23,ברן,מניה רגילה
288019,292,2026-07-23,סקופ,מניה רגילה
290023,0.219,2026-07-23,תעוזה,מניה רגילה
297010,0.535,2026-07-23,אברות,מניה רגילה
299016,13.38,2026-07-23,אראסאל,מניה רגילה
312017,84.98,2026-07-23,עשות,מניה רגילה
313015,6.187,2026-07-23,אספן גרופ,מניה רגילה
314013,451,2026-07-23,דנאל,מניה רגילה
315010,198.6,2026-07-23,פמס,מניה רגילה
323014,412,2026-07-23,מליסרון,מניה רגילה
328013,360.1,2026-07-23,פריורטק,מניה רגילה
333013,3.58,2026-07-23,פנינסולה,מניה רגילה
338012,52.45,2026-07-23,מר,מניה רגילה
341016,5.868,2026-07-23,"שדה נדל""ן",מניה רגילה
345017,2.082,2026-07-23,מודיעין יהש,יחידת השתתפות
350017,39.14,2026-07-23,ויז'ן סיגמא,מניה רגילה
351015,33.09,2026-07-23,חד,מניה רגילה
354019,355.6,2026-07-23,טלסיס,מניה רגילה
363010,1.3,2026-07-23,אירודרום קבוצה,מניה רגילה
366013,4.82,2026-07-23,ארי נדלן,מניה רגילה
368019,47.23,2026-07-23,אלקטריאון,מניה רגילה
371013,61.14,2026-07-23,וילי פוד,מניה רגילה
373019,16.11,2026-07-23,אאורה,מניה רגילה
382010,5.27,2026-07-23,פיקס סולושנז,מניה רגילה
383018,0.302,2026-07-23,אקסיליון,מניה רגילה
384016,15.51,2026-07-23,חמת,מניה רגילה
386011,7.599,2026-07-23,קווינקו,מניה רגילה
387019,252.9,2026-07-23,אלרוב נדלן,מניה רגילה
390013,32.74,2026-07-23,אלוני חץ,מניה רגילה
393017,43.67,2026-07-23,ראלקו,מניה רגילה
394015,4.55,2026-07-23,רציו יהש,יחידת השתתפות
397018,5.94,2026-07-23,עין שלישית,מניה רגילה
399014,12.88,2026-07-23,בריל,מניה רגילה
400010,257.3,2026-07-23,דוניץ,מניה רגילה
412015,70.08,2026-07-23,פייטון,מניה רגילה
413013,17.23,2026-07-23,קשרי תעופה,מניה רגילה
416016,173.6,2026-07-23,וילאר,מניה רגילה
421016,8.772,2026-07-23,נתנאל גרופ,מניה רגילה
422014,58.56,2026-07-23,אסאר אקורד,מניה רגילה
424010,4.024,2026-07-23,בליץ,מניה רגילה
425017,27.27,2026-07-23,צרפתי,מניה רגילה
431015,790.5,2026-07-23,אייאיאס,מניה רגילה
433011,0.39,2026-07-23,נקסטייג',מניה רגילה
434019,17.41,2026-07-23,ישראל קנדה,מניה רגילה
440016,19.78,2026-07-23,כרמית,מניה רגילה
442012,21.89,2026-07-23,סיאי,מניה רגילה
444018,21.21,2026-07-23,אביב בניה,מניה רגילה
445015,87.08,2026-07-23,מטריקס,מניה רגילה
448019,0.763,2026-07-23,גיבוי אחזקות,מניה רגילה
454017,18.48,2026-07-23,גאון קבוצה,מניה רגילה
456012,1,2026-07-23,אפסלון ברנדס,מניה רגילה
462010,2.274,2026-07-23,טוגדר,מניה רגילה
473017,4.979,2026-07-23,לוזון קבוצה,מניה רגילה
